Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
1,Stony Brook (America East),18,13-5,250,622,0.402,05/09/2015,2015.0
2,UAlbany (America East),18,16-2,315,855,0.368,05/09/2015,2015.0
3,Denver (Big East),15,13-2,210,587,0.358,05/09/2015,2015.0
4,Colgate (Patriot),15,10-5,157,442,0.355,05/09/2015,2015.0
5,Princeton (Ivy League),15,9-6,180,523,0.344,05/09/2015,2015.0
6,Notre Dame (ACC),13,11-2,175,509,0.344,05/09/2015,2015.0
7,Virginia (ACC),14,10-4,174,512,0.340,05/09/2015,2015.0
8,Syracuse (ACC),14,12-2,203,601,0.338,05/09/2015,2015.0
9,North Carolina (ACC),15,12-3,218,656,0.332,05/09/2015,2015.0
10,Yale (Ivy League),16,11-5,182,561,0.324,05/09/2015,2015.0
11,Duke (ACC),18,12-6,257,797,0.322,05/09/2015,2015.0
12,Marist (MAAC),17,14-3,204,634,0.322,05/09/2015,2015.0
13,Johns Hopkins (Big Ten),15,9-6,188,586,0.321,05/09/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/09/2015,2015.0
15,Binghamton (America East),13,4-9,140,455,0.308,05/09/2015,2015.0
16,Army West Point (Patriot),17,10-7,191,621,0.308,05/09/2015,2015.0
17,Holy Cross (Patriot),13,6-7,120,393,0.305,05/09/2015,2015.0
18,High Point (SoCon),17,10-7,184,605,0.304,05/09/2015,2015.0
19,Richmond (SoCon),16,11-5,188,620,0.303,05/09/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/09/2015,2015.0
21,Brown (Ivy League),16,12-4,228,759,0.300,05/09/2015,2015.0
22,Ohio St. (Big Ten),18,12-6,177,591,0.299,05/09/2015,2015.0
23,Georgetown (Big East),16,10-6,186,623,0.299,05/09/2015,2015.0
24,Massachusetts (CAA),15,5-10,146,494,0.296,05/09/2015,2015.0
25,Lehigh (Patriot),16,7-9,163,555,0.294,05/09/2015,2015.0
26,Bellarmine (SoCon),12,4-8,119,406,0.293,05/09/2015,2015.0
27,Vermont (America East),16,6-10,194,662,0.293,05/09/2015,2015.0
28,Navy (Patriot),14,9-5,137,472,0.290,05/09/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/09/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/09/2015,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/09/2015,2015.0
32,Delaware (CAA),15,5-10,136,478,0.285,05/09/2015,2015.0
33,Penn (Ivy League),13,6-7,131,467,0.281,05/09/2015,2015.0
34,Fairfield (CAA),15,9-6,144,515,0.280,05/09/2015,2015.0
35,Penn St. (Big Ten),14,5-9,129,463,0.279,05/09/2015,2015.0
36,Rutgers (Big Ten),15,5-10,155,558,0.278,05/09/2015,2015.0
37,Bucknell (Patriot),15,9-6,144,519,0.277,05/09/2015,2015.0
38,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/09/2015,2015.0
39,UMBC (America East),13,5-8,111,402,0.276,05/09/2015,2015.0
40,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/09/2015,2015.0
41,Jacksonville (SoCon),12,4-8,109,398,0.274,05/09/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/09/2015,2015.0
43,Air Force (ECAC),15,8-7,145,536,0.271,05/09/2015,2015.0
44,Saint Joseph's (NEC),17,11-6,182,675,0.270,05/09/2015,2015.0
45,Bryant (NEC),18,8-10,149,554,0.269,05/09/2015,2015.0
46,Hobart (NEC),14,7-7,118,440,0.268,05/09/2015,2015.0
47,Sacred Heart (NEC),13,6-7,112,419,0.267,05/09/2015,2015.0
48,Michigan (Big Ten),13,5-8,128,479,0.267,05/09/2015,2015.0
49,Cornell (Ivy League),16,10-6,184,698,0.264,05/09/2015,2015.0
50,Maryland (Big Ten),16,13-3,163,619,0.263,05/09/2015,2015.0
51,Boston U. (Patriot),14,6-8,150,571,0.263,05/09/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/09/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/09/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/09/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/09/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/09/2015,2015.0
57,Towson (CAA),18,12-6,154,632,0.244,05/09/2015,2015.0
58,Villanova (Big East),14,6-8,131,540,0.243,05/09/2015,2015.0
59,Canisius (MAAC),15,3-12,118,489,0.241,05/09/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/09/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/09/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/09/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/09/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/09/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/09/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/09/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/09/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/09/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/09/2015,2015.0
1,Stony Brook (America East),18,13-5,250,622,0.402,05/06/2015,2015.0
2,UAlbany (America East),17,15-2,296,803,0.369,05/06/2015,2015.0
3,Denver (Big East),15,13-2,210,587,0.358,05/06/2015,2015.0
4,Colgate (Patriot),15,10-5,157,442,0.355,05/06/2015,2015.0
5,Notre Dame (ACC),12,10-2,163,462,0.353,05/06/2015,2015.0
6,Princeton (Ivy League),15,9-6,180,523,0.344,05/06/2015,2015.0
7,Virginia (ACC),14,10-4,174,512,0.340,05/06/2015,2015.0
8,Syracuse (ACC),14,12-2,203,601,0.338,05/06/2015,2015.0
9,North Carolina (ACC),15,12-3,218,656,0.332,05/06/2015,2015.0
10,Yale (Ivy League),15,11-4,175,531,0.330,05/06/2015,2015.0
11,Duke (ACC),17,12-5,246,762,0.323,05/06/2015,2015.0
12,Marist (MAAC),17,14-3,204,634,0.322,05/06/2015,2015.0
13,Johns Hopkins (Big Ten),15,9-6,188,586,0.321,05/06/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/06/2015,2015.0
15,Binghamton (America East),13,4-9,140,455,0.308,05/06/2015,2015.0
16,Army West Point (Patriot),17,10-7,191,621,0.308,05/06/2015,2015.0
17,Holy Cross (Patriot),13,6-7,120,393,0.305,05/06/2015,2015.0
18,High Point (SoCon),17,10-7,184,605,0.304,05/06/2015,2015.0
19,Richmond (SoCon),16,11-5,188,620,0.303,05/06/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/06/2015,2015.0
21,Brown (Ivy League),16,12-4,228,759,0.300,05/06/2015,2015.0
22,Georgetown (Big East),16,10-6,186,623,0.299,05/06/2015,2015.0
23,Massachusetts (CAA),15,5-10,146,494,0.296,05/06/2015,2015.0
24,Lehigh (Patriot),16,7-9,163,555,0.294,05/06/2015,2015.0
25,Bellarmine (SoCon),12,4-8,119,406,0.293,05/06/2015,2015.0
26,Vermont (America East),16,6-10,194,662,0.293,05/06/2015,2015.0
27,Navy (Patriot),14,9-5,137,472,0.290,05/06/2015,2015.0
28,Ohio St. (Big Ten),17,11-6,161,557,0.289,05/06/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/06/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/06/2015,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/06/2015,2015.0
32,Delaware (CAA),15,5-10,136,478,0.285,05/06/2015,2015.0
33,Penn (Ivy League),13,6-7,131,467,0.281,05/06/2015,2015.0
34,Fairfield (CAA),15,9-6,144,515,0.280,05/06/2015,2015.0
35,Penn St. (Big Ten),14,5-9,129,463,0.279,05/06/2015,2015.0
36,Rutgers (Big Ten),15,5-10,155,558,0.278,05/06/2015,2015.0
37,Bucknell (Patriot),15,9-6,144,519,0.277,05/06/2015,2015.0
38,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/06/2015,2015.0
39,UMBC (America East),13,5-8,111,402,0.276,05/06/2015,2015.0
40,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/06/2015,2015.0
41,Jacksonville (SoCon),12,4-8,109,398,0.274,05/06/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/06/2015,2015.0
43,Air Force (ECAC),15,8-7,145,536,0.271,05/06/2015,2015.0
44,Saint Joseph's (NEC),17,11-6,182,675,0.270,05/06/2015,2015.0
45,Bryant (NEC),18,8-10,149,554,0.269,05/06/2015,2015.0
46,Hobart (NEC),14,7-7,118,440,0.268,05/06/2015,2015.0
47,Sacred Heart (NEC),13,6-7,112,419,0.267,05/06/2015,2015.0
48,Michigan (Big Ten),13,5-8,128,479,0.267,05/06/2015,2015.0
49,Cornell (Ivy League),15,10-5,174,653,0.266,05/06/2015,2015.0
50,Maryland (Big Ten),15,12-3,155,585,0.265,05/06/2015,2015.0
51,Boston U. (Patriot),14,6-8,150,571,0.263,05/06/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/06/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/06/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/06/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/06/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/06/2015,2015.0
57,Villanova (Big East),14,6-8,131,540,0.243,05/06/2015,2015.0
58,Canisius (MAAC),15,3-12,118,489,0.241,05/06/2015,2015.0
59,Towson (CAA),17,12-5,144,598,0.241,05/06/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/06/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/06/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/06/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/06/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/06/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/06/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/06/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/06/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/06/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/06/2015,2015.0
1,Stony Brook (America East),18,13-5,250,622,0.402,05/03/2015,2015.0
2,UAlbany (America East),17,15-2,296,803,0.369,05/03/2015,2015.0
3,Denver (Big East),15,13-2,210,587,0.358,05/03/2015,2015.0
4,Colgate (Patriot),15,10-5,157,442,0.355,05/03/2015,2015.0
5,Notre Dame (ACC),12,10-2,163,462,0.353,05/03/2015,2015.0
6,Princeton (Ivy League),15,9-6,180,523,0.344,05/03/2015,2015.0
7,Virginia (ACC),14,10-4,174,512,0.340,05/03/2015,2015.0
8,Syracuse (ACC),14,12-2,203,601,0.338,05/03/2015,2015.0
9,North Carolina (ACC),15,12-3,218,656,0.332,05/03/2015,2015.0
10,Yale (Ivy League),15,11-4,175,531,0.330,05/03/2015,2015.0
11,Marist (MAAC),16,13-3,194,595,0.326,05/03/2015,2015.0
12,Duke (ACC),17,12-5,246,762,0.323,05/03/2015,2015.0
13,Johns Hopkins (Big Ten),15,9-6,188,586,0.321,05/03/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/03/2015,2015.0
15,Binghamton (America East),13,4-9,140,455,0.308,05/03/2015,2015.0
16,Army West Point (Patriot),17,10-7,191,621,0.308,05/03/2015,2015.0
17,Holy Cross (Patriot),13,6-7,120,393,0.305,05/03/2015,2015.0
18,High Point (SoCon),16,10-6,176,577,0.305,05/03/2015,2015.0
19,Richmond (SoCon),16,11-5,188,620,0.303,05/03/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/03/2015,2015.0
21,Brown (Ivy League),16,12-4,228,759,0.300,05/03/2015,2015.0
22,Georgetown (Big East),16,10-6,186,623,0.299,05/03/2015,2015.0
23,Massachusetts (CAA),15,5-10,146,494,0.296,05/03/2015,2015.0
24,Lehigh (Patriot),16,7-9,163,555,0.294,05/03/2015,2015.0
25,Bellarmine (SoCon),12,4-8,119,406,0.293,05/03/2015,2015.0
26,Vermont (America East),16,6-10,194,662,0.293,05/03/2015,2015.0
27,Navy (Patriot),14,9-5,137,472,0.290,05/03/2015,2015.0
28,Ohio St. (Big Ten),17,11-6,161,557,0.289,05/03/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/03/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/03/2015,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/03/2015,2015.0
32,Delaware (CAA),15,5-10,136,478,0.285,05/03/2015,2015.0
33,Penn (Ivy League),13,6-7,131,467,0.281,05/03/2015,2015.0
34,Fairfield (CAA),15,9-6,144,515,0.280,05/03/2015,2015.0
35,Penn St. (Big Ten),14,5-9,129,463,0.279,05/03/2015,2015.0
36,Rutgers (Big Ten),15,5-10,155,558,0.278,05/03/2015,2015.0
37,Bucknell (Patriot),15,9-6,144,519,0.277,05/03/2015,2015.0
38,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/03/2015,2015.0
39,UMBC (America East),13,5-8,111,402,0.276,05/03/2015,2015.0
40,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/03/2015,2015.0
41,Jacksonville (SoCon),12,4-8,109,398,0.274,05/03/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/03/2015,2015.0
43,Bryant (NEC),17,8-9,143,525,0.272,05/03/2015,2015.0
44,Air Force (ECAC),15,8-7,145,536,0.271,05/03/2015,2015.0
45,Saint Joseph's (NEC),17,11-6,182,675,0.270,05/03/2015,2015.0
46,Hobart (NEC),14,7-7,118,440,0.268,05/03/2015,2015.0
47,Sacred Heart (NEC),13,6-7,112,419,0.267,05/03/2015,2015.0
48,Michigan (Big Ten),13,5-8,128,479,0.267,05/03/2015,2015.0
49,Cornell (Ivy League),15,10-5,174,653,0.266,05/03/2015,2015.0
50,Maryland (Big Ten),15,12-3,155,585,0.265,05/03/2015,2015.0
51,Boston U. (Patriot),14,6-8,150,571,0.263,05/03/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/03/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/03/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/03/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/03/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/03/2015,2015.0
57,Villanova (Big East),14,6-8,131,540,0.243,05/03/2015,2015.0
58,Canisius (MAAC),15,3-12,118,489,0.241,05/03/2015,2015.0
59,Towson (CAA),16,11-5,134,561,0.239,05/03/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/03/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/03/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/03/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/03/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/03/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/03/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/03/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/03/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/03/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/03/2015,2015.0
1,Stony Brook (America East),18,13-5,250,622,0.402,05/02/2015,2015.0
2,UAlbany (America East),17,15-2,296,803,0.369,05/02/2015,2015.0
3,Denver (Big East),15,13-2,210,587,0.358,05/02/2015,2015.0
4,Colgate (Patriot),15,10-5,157,442,0.355,05/02/2015,2015.0
5,Notre Dame (ACC),12,10-2,163,462,0.353,05/02/2015,2015.0
6,Princeton (Ivy League),14,9-5,170,489,0.348,05/02/2015,2015.0
7,Virginia (ACC),14,10-4,174,512,0.340,05/02/2015,2015.0
8,Syracuse (ACC),14,12-2,203,601,0.338,05/02/2015,2015.0
9,North Carolina (ACC),15,12-3,218,656,0.332,05/02/2015,2015.0
10,Marist (MAAC),16,13-3,194,595,0.326,05/02/2015,2015.0
11,Duke (ACC),16,11-5,233,716,0.325,05/02/2015,2015.0
12,Yale (Ivy League),14,10-4,164,507,0.323,05/02/2015,2015.0
13,Johns Hopkins (Big Ten),15,9-6,188,586,0.321,05/02/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/02/2015,2015.0
15,Binghamton (America East),13,4-9,140,455,0.308,05/02/2015,2015.0
16,Army West Point (Patriot),17,10-7,191,621,0.308,05/02/2015,2015.0
17,Holy Cross (Patriot),13,6-7,120,393,0.305,05/02/2015,2015.0
18,High Point (SoCon),16,10-6,176,577,0.305,05/02/2015,2015.0
19,Richmond (SoCon),16,11-5,188,620,0.303,05/02/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/02/2015,2015.0
21,Brown (Ivy League),16,12-4,228,759,0.300,05/02/2015,2015.0
22,Georgetown (Big East),16,10-6,186,623,0.299,05/02/2015,2015.0
23,Massachusetts (CAA),15,5-10,146,494,0.296,05/02/2015,2015.0
24,Lehigh (Patriot),16,7-9,163,555,0.294,05/02/2015,2015.0
25,Bellarmine (SoCon),12,4-8,119,406,0.293,05/02/2015,2015.0
26,Vermont (America East),16,6-10,194,662,0.293,05/02/2015,2015.0
27,Navy (Patriot),14,9-5,137,472,0.290,05/02/2015,2015.0
28,Ohio St. (Big Ten),17,11-6,161,557,0.289,05/02/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/02/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/02/2015,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/02/2015,2015.0
32,Delaware (CAA),15,5-10,136,478,0.285,05/02/2015,2015.0
33,Penn (Ivy League),13,6-7,131,467,0.281,05/02/2015,2015.0
34,Fairfield (CAA),15,9-6,144,515,0.280,05/02/2015,2015.0
35,Penn St. (Big Ten),14,5-9,129,463,0.279,05/02/2015,2015.0
36,Rutgers (Big Ten),15,5-10,155,558,0.278,05/02/2015,2015.0
37,Bucknell (Patriot),15,9-6,144,519,0.277,05/02/2015,2015.0
38,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/02/2015,2015.0
39,UMBC (America East),13,5-8,111,402,0.276,05/02/2015,2015.0
40,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/02/2015,2015.0
41,Jacksonville (SoCon),12,4-8,109,398,0.274,05/02/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/02/2015,2015.0
43,Bryant (NEC),17,8-9,143,525,0.272,05/02/2015,2015.0
44,Air Force (ECAC),15,8-7,145,536,0.271,05/02/2015,2015.0
45,Boston U. (Patriot),13,6-7,143,530,0.270,05/02/2015,2015.0
46,Saint Joseph's (NEC),17,11-6,182,675,0.270,05/02/2015,2015.0
47,Hobart (NEC),14,7-7,118,440,0.268,05/02/2015,2015.0
48,Sacred Heart (NEC),13,6-7,112,419,0.267,05/02/2015,2015.0
49,Michigan (Big Ten),13,5-8,128,479,0.267,05/02/2015,2015.0
50,Cornell (Ivy League),15,10-5,174,653,0.266,05/02/2015,2015.0
51,Maryland (Big Ten),15,12-3,155,585,0.265,05/02/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/02/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/02/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/02/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/02/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/02/2015,2015.0
57,Villanova (Big East),14,6-8,131,540,0.243,05/02/2015,2015.0
58,Canisius (MAAC),15,3-12,118,489,0.241,05/02/2015,2015.0
59,Towson (CAA),16,11-5,134,561,0.239,05/02/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/02/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/02/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/02/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/02/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/02/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/02/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/02/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/02/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/02/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/02/2015,2015.0
1,Stony Brook (America East),17,13-4,241,597,0.404,05/01/2015,2015.0
2,UAlbany (America East),16,14-2,274,755,0.363,05/01/2015,2015.0
3,Colgate (Patriot),14,10-4,150,416,0.361,05/01/2015,2015.0
4,Denver (Big East),14,12-2,194,548,0.354,05/01/2015,2015.0
5,Syracuse (ACC),13,11-2,194,558,0.348,05/01/2015,2015.0
6,Princeton (Ivy League),14,9-5,170,489,0.348,05/01/2015,2015.0
7,Notre Dame (ACC),11,9-2,146,424,0.344,05/01/2015,2015.0
8,Virginia (ACC),14,10-4,174,512,0.340,05/01/2015,2015.0
9,North Carolina (ACC),15,12-3,218,656,0.332,05/01/2015,2015.0
10,Marist (MAAC),15,12-3,178,539,0.330,05/01/2015,2015.0
11,Duke (ACC),16,11-5,233,716,0.325,05/01/2015,2015.0
12,Yale (Ivy League),14,10-4,164,507,0.323,05/01/2015,2015.0
13,Johns Hopkins (Big Ten),14,8-6,175,548,0.319,05/01/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/01/2015,2015.0
15,Army West Point (Patriot),16,10-6,183,587,0.312,05/01/2015,2015.0
16,Richmond (SoCon),15,11-4,180,581,0.310,05/01/2015,2015.0
17,Binghamton (America East),13,4-9,140,455,0.308,05/01/2015,2015.0
18,High Point (SoCon),15,9-6,167,544,0.307,05/01/2015,2015.0
19,Holy Cross (Patriot),13,6-7,120,393,0.305,05/01/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/01/2015,2015.0
21,Brown (Ivy League),16,12-4,228,759,0.300,05/01/2015,2015.0
22,Georgetown (Big East),15,10-5,178,594,0.300,05/01/2015,2015.0
23,Ohio St. (Big Ten),16,11-5,155,520,0.298,05/01/2015,2015.0
24,Massachusetts (CAA),14,5-9,138,467,0.296,05/01/2015,2015.0
25,Lehigh (Patriot),16,7-9,163,555,0.294,05/01/2015,2015.0
26,Bellarmine (SoCon),12,4-8,119,406,0.293,05/01/2015,2015.0
27,Vermont (America East),16,6-10,194,662,0.293,05/01/2015,2015.0
28,Navy (Patriot),13,8-5,128,445,0.288,05/01/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/01/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/01/2015,2015.0
31,Delaware (CAA),15,5-10,136,478,0.285,05/01/2015,2015.0
32,Penn (Ivy League),13,6-7,131,467,0.281,05/01/2015,2015.0
33,Fairfield (CAA),15,9-6,144,515,0.280,05/01/2015,2015.0
34,Penn St. (Big Ten),14,5-9,129,463,0.279,05/01/2015,2015.0
35,Rutgers (Big Ten),15,5-10,155,558,0.278,05/01/2015,2015.0
36,Bucknell (Patriot),15,9-6,144,519,0.277,05/01/2015,2015.0
37,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/01/2015,2015.0
38,UMBC (America East),13,5-8,111,402,0.276,05/01/2015,2015.0
39,Quinnipiac (MAAC),14,7-7,134,486,0.276,05/01/2015,2015.0
40,Saint Joseph's (NEC),16,11-5,176,639,0.275,05/01/2015,2015.0
41,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/01/2015,2015.0
42,Air Force (ECAC),14,8-6,137,500,0.274,05/01/2015,2015.0
43,Jacksonville (SoCon),12,4-8,109,398,0.274,05/01/2015,2015.0
44,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/01/2015,2015.0
45,Boston U. (Patriot),13,6-7,143,530,0.270,05/01/2015,2015.0
46,Bryant (NEC),16,7-9,133,495,0.269,05/01/2015,2015.0
47,Hobart (NEC),14,7-7,118,440,0.268,05/01/2015,2015.0
48,Sacred Heart (NEC),13,6-7,112,419,0.267,05/01/2015,2015.0
49,Michigan (Big Ten),13,5-8,128,479,0.267,05/01/2015,2015.0
50,Cornell (Ivy League),15,10-5,174,653,0.266,05/01/2015,2015.0
51,Maryland (Big Ten),15,12-3,155,585,0.265,05/01/2015,2015.0
52,Lafayette (Patriot),14,4-10,127,485,0.262,05/01/2015,2015.0
53,Robert Morris (NEC),14,3-11,133,508,0.262,05/01/2015,2015.0
54,Hofstra (CAA),14,5-9,133,522,0.255,05/01/2015,2015.0
55,Providence (Big East),14,5-9,113,445,0.254,05/01/2015,2015.0
56,Siena (MAAC),14,5-9,130,524,0.248,05/01/2015,2015.0
57,Villanova (Big East),14,6-8,131,540,0.243,05/01/2015,2015.0
58,Canisius (MAAC),15,3-12,118,489,0.241,05/01/2015,2015.0
59,Towson (CAA),15,10-5,125,521,0.240,05/01/2015,2015.0
60,Wagner (NEC),13,4-9,93,410,0.227,05/01/2015,2015.0
61,Mount St. Mary's (NEC),15,5-10,110,485,0.227,05/01/2015,2015.0
62,Drexel (CAA),15,7-8,130,577,0.225,05/01/2015,2015.0
63,Monmouth (MAAC),14,6-8,93,436,0.213,05/01/2015,2015.0
64,Furman (SoCon),13,4-9,94,445,0.211,05/01/2015,2015.0
65,Mercer (SoCon),13,5-8,108,526,0.205,05/01/2015,2015.0
66,VMI (SoCon),15,1-14,78,421,0.185,05/01/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,420,0.176,05/01/2015,2015.0
68,NJIT (Independent),12,0-12,54,314,0.172,05/01/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,427,0.222,05/01/2015,2015.0
1,Stony Brook (America East),17,13-4,241,597,0.404,04/30/2015,2015.0
2,UAlbany (America East),16,14-2,274,755,0.363,04/30/2015,2015.0
3,Colgate (Patriot),14,10-4,150,416,0.361,04/30/2015,2015.0
4,Denver (Big East),14,12-2,194,548,0.354,04/30/2015,2015.0
5,Princeton (Ivy League),13,8-5,159,457,0.348,04/30/2015,2015.0
6,Syracuse (ACC),13,11-2,194,558,0.348,04/30/2015,2015.0
7,Notre Dame (ACC),11,9-2,146,424,0.344,04/30/2015,2015.0
8,Virginia (ACC),14,10-4,174,512,0.340,04/30/2015,2015.0
9,North Carolina (ACC),15,12-3,218,656,0.332,04/30/2015,2015.0
10,Marist (MAAC),15,12-3,178,539,0.330,04/30/2015,2015.0
11,Yale (Ivy League),13,9-4,154,472,0.326,04/30/2015,2015.0
12,Duke (ACC),16,11-5,233,716,0.325,04/30/2015,2015.0
13,Johns Hopkins (Big Ten),14,8-6,175,548,0.319,04/30/2015,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,04/30/2015,2015.0
15,Army West Point (Patriot),16,10-6,183,587,0.312,04/30/2015,2015.0
16,Richmond (SoCon),15,11-4,180,581,0.310,04/30/2015,2015.0
17,Binghamton (America East),13,4-9,140,455,0.308,04/30/2015,2015.0
18,High Point (SoCon),15,9-6,167,544,0.307,04/30/2015,2015.0
