Date,Team,Shot Percent
2015-05-02,Cornell,0.266
2015-05-02,Maryland,0.265
2015-05-02,Lafayette,0.262
2015-05-02,Robert Morris,0.262
2015-05-02,Hofstra,0.255
2015-05-02,Providence,0.254
2015-05-02,Siena,0.248
2015-05-02,Villanova,0.243
2015-05-02,Canisius,0.241
2015-05-02,Towson,0.239
2015-05-02,Wagner,0.227
2015-05-02,Mount St. Mary's,0.227
2015-05-02,Drexel,0.225
2015-05-02,Monmouth,0.213
2015-05-02,Furman,0.211
2015-05-02,Mercer,0.205
2015-05-02,VMI,0.185
2015-05-02,Manhattan,0.176
2015-05-02,NJIT,0.172
2015-05-02,UMass Lowell,0.222
2015-05-01,Stony Brook,0.404
2015-05-01,UAlbany,0.363
2015-05-01,Colgate,0.361
2015-05-01,Denver,0.354
2015-05-01,Syracuse,0.348
2015-05-01,Princeton,0.348
2015-05-01,Notre Dame,0.344
2015-05-01,Virginia,0.34
2015-05-01,North Carolina,0.332
2015-05-01,Marist,0.33
2015-05-01,Duke,0.325
2015-05-01,Yale,0.323
2015-05-01,Johns Hopkins,0.319
2015-05-01,Harvard,0.316
2015-05-01,Army West Point,0.312
2015-05-01,Richmond,0.31
2015-05-01,Binghamton,0.308
2015-05-01,High Point,0.307
2015-05-01,Holy Cross,0.305
2015-05-01,Marquette,0.302
2015-05-01,Brown,0.3
2015-05-01,Georgetown,0.3
2015-05-01,Ohio St.,0.298
2015-05-01,Massachusetts,0.296
2015-05-01,Lehigh,0.294
2015-05-01,Bellarmine,0.293
2015-05-01,Vermont,0.293
2015-05-01,Navy,0.288
2015-05-01,Hartford,0.287
2015-05-01,Detroit Mercy,0.286
2015-05-01,Delaware,0.285
2015-05-01,Penn,0.281
2015-05-01,Fairfield,0.28
2015-05-01,Penn St.,0.279
2015-05-01,Rutgers,0.278
2015-05-01,Bucknell,0.277
2015-05-01,Dartmouth,0.277
2015-05-01,UMBC,0.276
2015-05-01,Quinnipiac,0.276
2015-05-01,Saint Joseph's,0.275
2015-05-01,St. John's,0.274
2015-05-01,Air Force,0.274
2015-05-01,Jacksonville,0.274
2015-05-01,Loyola Maryland,0.273
2015-05-01,Boston U.,0.27
2015-05-01,Bryant,0.269
2015-05-01,Hobart,0.268
2015-05-01,Sacred Heart,0.267
2015-05-01,Michigan,0.267
2015-05-01,Cornell,0.266
2015-05-01,Maryland,0.265
2015-05-01,Lafayette,0.262
2015-05-01,Robert Morris,0.262
2015-05-01,Hofstra,0.255
2015-05-01,Providence,0.254
2015-05-01,Siena,0.248
2015-05-01,Villanova,0.243
2015-05-01,Canisius,0.241
2015-05-01,Towson,0.24
2015-05-01,Wagner,0.227
2015-05-01,Mount St. Mary's,0.227
2015-05-01,Drexel,0.225
2015-05-01,Monmouth,0.213
2015-05-01,Furman,0.211
2015-05-01,Mercer,0.205
2015-05-01,VMI,0.185
2015-05-01,Manhattan,0.176
2015-05-01,NJIT,0.172
2015-05-01,UMass Lowell,0.222
2015-04-30,Stony Brook,0.404
2015-04-30,UAlbany,0.363
2015-04-30,Colgate,0.361
2015-04-30,Denver,0.354
2015-04-30,Princeton,0.348
2015-04-30,Syracuse,0.348
2015-04-30,Notre Dame,0.344
2015-04-30,Virginia,0.34
2015-04-30,North Carolina,0.332
2015-04-30,Marist,0.33
2015-04-30,Yale,0.326
2015-04-30,Duke,0.325
2015-04-30,Johns Hopkins,0.319
2015-04-30,Harvard,0.316
2015-04-30,Army West Point,0.312
2015-04-30,Richmond,0.31
2015-04-30,Binghamton,0.308
2015-04-30,High Point,0.307
2015-04-30,Holy Cross,0.305
2015-04-30,Brown,0.304
2015-04-30,Marquette,0.302
2015-04-30,Georgetown,0.3
2015-04-30,Ohio St.,0.298
2015-04-30,Massachusetts,0.296
2015-04-30,Lehigh,0.294
2015-04-30,Bellarmine,0.293
2015-04-30,Vermont,0.293
2015-04-30,Navy,0.288
2015-04-30,Hartford,0.287
2015-04-30,Detroit Mercy,0.286
2015-04-30,Delaware,0.285
2015-04-30,Penn,0.281
2015-04-30,Fairfield,0.28
2015-04-30,Penn St.,0.279
2015-04-30,Rutgers,0.278
2015-04-30,Bucknell,0.277
2015-04-30,Dartmouth,0.277
2015-04-30,UMBC,0.276
