Date,Team,Faceoff Percent
2015-04-26,Siena,0.485
2015-04-26,North Carolina,0.483
2015-04-26,Notre Dame,0.482
2015-04-26,Bellarmine,0.478
2015-04-26,Penn,0.476
2015-04-26,Mount St. Mary's,0.475
2015-04-26,Holy Cross,0.468
2015-04-26,VMI,0.466
2015-04-26,Virginia,0.466
2015-04-26,Richmond,0.464
2015-04-26,Delaware,0.462
2015-04-26,UAlbany,0.461
2015-04-26,Lehigh,0.457
2015-04-26,Detroit Mercy,0.457
2015-04-26,Robert Morris,0.456
2015-04-26,Canisius,0.452
2015-04-26,St. John's,0.45
2015-04-26,Georgetown,0.447
2015-04-26,Michigan,0.446
2015-04-26,Princeton,0.441
2015-04-26,Marquette,0.441
2015-04-26,Furman,0.441
2015-04-26,Massachusetts,0.44
2015-04-26,UMBC,0.437
2015-04-26,NJIT,0.433
2015-04-26,Bucknell,0.431
2015-04-26,Wagner,0.429
2015-04-26,Harvard,0.425
2015-04-26,Monmouth,0.405
2015-04-26,Quinnipiac,0.404
2015-04-26,Manhattan,0.401
2015-04-26,Hobart,0.4
2015-04-26,Colgate,0.393
2015-04-26,Lafayette,0.39
2015-04-26,Providence,0.383
2015-04-26,UMass Lowell,0.216
2015-04-25,Denver,0.716
2015-04-25,Syracuse,0.677
2015-04-25,Cornell,0.652
