Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-04-08,2017,Monmouth,10,NJIT,5,Monmouth
2017-04-08,2017,Marist,9,Quinnipiac,8,Marist
2017-04-08,2017,Manhattan,6,Siena,16,Siena
2017-04-08,2017,Canisius,11,Detroit,5,Canisius
2017-04-08,2017,Notre Dame,8,Duke,11,Duke
2017-04-08,2017,Hartford,9,Binghamton,10,Binghamton
2017-04-08,2017,Vermont,12,Mass.-Lowell,11,Vermont
2017-04-08,2017,Rutgers,14,Michigan,7,Rutgers
2017-04-08,2017,Cornell,12,Harvard,9,Cornell
2017-04-08,2017,Holy Cross,10,Lafayette,5,Holy Cross
2017-04-08,2017,Dartmouth,6,Yale,13,Yale
2017-04-08,2017,Princeton,13,Stony Brook,11,Princeton
2017-04-08,2017,Mercer,9,Richmond,12,Richmond
2017-04-08,2017,High Point,5,Bellarmine,7,Bellarmine
2017-04-08,2017,Jacksonville,16,VMI,10,Jacksonville
2017-04-08,2017,Air Force,7,Furman,8,Furman
2017-04-08,2017,St. John's (NY),9,Marquette,17,Marquette
2017-04-08,2017,Georgetown,7,Providence,13,Providence
2017-04-08,2017,Lehigh,5,Loyola Maryland,14,Loyola Maryland
2017-04-08,2017,Navy,4,Colgate,10,Colgate
2017-04-08,2017,Boston U.,10,Army,11,Army
2017-04-08,2017,Penn,8,Brown,11,Brown
2017-04-10,2017,VMI,8,Monmouth,15,Monmouth
2017-04-11,2017,Marquette,10,Notre Dame,11,Notre Dame
2017-04-11,2017,Cornell,8,Syracuse,15,Syracuse
2017-04-11,2017,Robert Morris,7,Virginia,13,Virginia
2017-04-11,2017,Mass.-Lowell,8,Dartmouth,14,Dartmouth
2017-04-11,2017,NJIT,11,Lafayette,12,Lafayette
2017-04-11,2017,Princeton,10,Lehigh,15,Lehigh
2017-04-15,2017,Lehigh,11,Cornell,16,Cornell
2017-04-15,2017,Mass.-Lowell,12,Hartford,11,Mass.-Lowell
2017-04-15,2017,Ohio St.,18,Michigan,7,Ohio St.
2017-04-15,2017,Fairfield,8,Massachusetts,12,Massachusetts
